id,title,poster_path,genres,cast,release_date,overview,features
1233069,Exterritorial,/qWTfHG8KdXwr0bqypYbNZLenh0J.jpg,"thriller,action","jeanne_goursaud,dougray_scott,lera_abova,emanuel_fellmer,annabelle_mandeng",2025,"When her son vanishes inside a US consulate, ex-special forces soldier Sara does everything in her power to find him — and uncovers a dark conspiracy.",thriller action jeanne_goursaud dougray_scott lera_abova emanuel_fellmer annabelle_mandeng
668489,Havoc,/r46leE6PSzLR3pnVzaxx5Q30yUF.jpg,"action,crime,thriller","tom_hardy,jessie_mei_li,timothy_olyphant,forest_whitaker,justin_cornwell",2025,"When a drug heist swerves lethally out of control, a jaded cop fights his way through a corrupt city's criminal underworld to save a politician's son.",action crime thriller tom_hardy jessie_mei_li timothy_olyphant forest_whitaker justin_cornwell
1197306,A Working Man,/xUkUZ8eOnrOnnJAfusZUqKYZiDu.jpg,"action,crime,thriller","jason_statham,jason_flemyng,merab_ninidze,maximilian_osinski,cokey_falkow",2025,"Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined.",action crime thriller jason_statham jason_flemyng merab_ninidze maximilian_osinski cokey_falkow
1471014,Van Gogh by Vincent,/z73X4WKZghBh5fri31o8P6vBEB2.jpg,documentary,"zahra_ahmadi,jack_etchells,adam_woolley,frances_christie,neil_lebeter",2025,"In a career that lasted only ten years, Vincent Van Gogh painted one subject more than any other: himself. This is the story of Vincent told using eight of his most iconic self-portraits.",documentary zahra_ahmadi jack_etchells adam_woolley frances_christie neil_lebeter
950387,A Minecraft Movie,/iPPTGh2OXuIv6d7cwuoPkw8govp.jpg,"family,comedy,adventure,fantasy","jason_momoa,jack_black,sebastian_eugene_hansen,emma_myers,danielle_brooks",2025,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.",family comedy adventure fantasy jason_momoa jack_black sebastian_eugene_hansen emma_myers danielle_brooks
1225915,Jewel Thief: The Heist Begins,/eujLbO0kf1eqWC8XpHUJdtAVW2J.jpg,"action,thriller","saif_ali_khan,jaideep_ahlawat,nikita_dutta,kunal_kapoor,kulbhushan_kharbanda",2025,"In this high-octane battle of wits and wills, ingenious con artist Rehan devises a diamond heist while trying to outsmart Rajan, his sadistic adversary.",action thriller saif_ali_khan jaideep_ahlawat nikita_dutta kunal_kapoor kulbhushan_kharbanda
986056,Thunderbolts*,/vnfgoohSwKNOcRfJOPULXTvX0cu.jpg,"action,adventure,science_fiction","florence_pugh,sebastian_stan,julia_louis-dreyfus,lewis_pullman,david_harbour",2025,"After finding themselves ensnared in a death trap, seven disillusioned castoffs must embark on a dangerous mission that will force them to confront the darkest corners of their pasts.",action adventure science_fiction florence_pugh sebastian_stan julia_louis-dreyfus lewis_pullman david_harbour
324544,In the Lost Lands,/dDlfjR7gllmr8HTeN6rfrYhTdwX.jpg,"action,fantasy,adventure","milla_jovovich,dave_bautista,arly_jover,amara_okereke,fraser_james",2025,"A queen sends the powerful and feared sorceress Gray Alys to the ghostly wilderness of the Lost Lands in search of a magical power, where she and her guide, the drifter Boyce, must outwit and outfight both man and demon.",action fantasy adventure milla_jovovich dave_bautista arly_jover amara_okereke fraser_james
822119,Captain America: Brave New World,/pzIddUEMWhWzfvLI3TwxUG2wGoi.jpg,"action,thriller,science_fiction","anthony_mackie,harrison_ford,danny_ramirez,shira_haas,tim_blake_nelson",2025,"After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red.",action thriller science_fiction anthony_mackie harrison_ford danny_ramirez shira_haas tim_blake_nelson
1180906,Desert Dawn,/S21BfLrJSD9njucBfY3CKqp8rD.jpg,"action,crime,mystery,thriller","kellan_lutz,cam_gigandet,chad_michael_collins",2025,A newly appointed small-town sheriff and his begrudging deputy get tangled up in a web of lies and corruption involving shady businessmen and the cartel while investigating the murder of a mysterious woman.,action crime mystery thriller kellan_lutz cam_gigandet chad_michael_collins
1414048,Day of Reckoning,/cVSjSQryFUERYSdOmdgJ2m0eBte.jpg,"western,action","zach_roerig,billy_zane,cara_jade_myers,scott_adkins,trace_adkins",2025,"Put-upon lawman John Dorsey is on the verge of losing his wife and his job as sheriff, so he posses up with bullish U.S. Marshall Butch Hayden to hold outlaw Emily Rusk hostage. A battle of wills ensues as Emily turns the posse on themselves, but as her marauding husband and his gang approach, Emily and John realize they will need each other to survive.",western action zach_roerig billy_zane cara_jade_myers scott_adkins trace_adkins
1153714,Death of a Unicorn,/lXR32JepFwD1UHkplWqtBP1K79z.jpg,"horror,fantasy,comedy,adventure","jenna_ortega,paul_rudd,will_poulter,richard_e._grant,téa_leoni",2025,"A father and daughter accidentally hit and kill a unicorn while en route to a weekend retreat, where his billionaire boss seeks to exploit the creature’s miraculous curative properties.",horror fantasy comedy adventure jenna_ortega paul_rudd will_poulter richard_e._grant téa_leoni
1356236,Saint Catherine,/hBJdzKPeDaC96AzlrtMWBomYSZV.jpg,horror,"raymond_e._lee,pachi_lucas,julia_kraiselburd,emilia_mayo",2025,An orphaned girl is rescued from a satanic ritual and taken to Saint Catherine Institute for homeless youth. There she will learn new skills while facing demons that stalk her.,horror raymond_e._lee pachi_lucas julia_kraiselburd emilia_mayo
